ZIP code,State,City,Average annual cost,Percent difference from national average
06268,Connecticut,Storrs,1441,-24
06269,Connecticut,Storrs,1442,-24
06277,Connecticut,Thompson,1489,-22
06278,Connecticut,Ashford,1458,-23
06279,Connecticut,Willington,1449,-24
06280,Connecticut,Windham,1459,-23
06281,Connecticut,Woodstock,1461,-23
06282,Connecticut,Woodstock Valley,1479,-22
06320,Connecticut,New London,2051,8
06330,Connecticut,Baltic,1611,-15
06331,Connecticut,Canterbury,1489,-22
06332,Connecticut,Central Village,1512,-20
06333,Connecticut,East Lyme,1942,2
06334,Connecticut,Bozrah,1647,-13
06335,Connecticut,Gales Ferry,1702,-10
06336,Connecticut,Gilman,1644,-13
06338,Connecticut,Mashantucket,1678,-12
06339,Connecticut,Ledyard,1745,-8
06340,Connecticut,Groton,2058,8
06350,Connecticut,Hanover,1706,-10
06351,Connecticut,Jewett City,1620,-15
06353,Connecticut,Montville,1627,-14
06354,Connecticut,Moosup,1478,-22
06355,Connecticut,Old Mystic,1937,2
06357,Connecticut,Niantic,2009,6
06359,Connecticut,North Stonington,1838,-3
06360,Connecticut,Norwich,1581,-17
06365,Connecticut,Preston,1672,-12
06370,Connecticut,Oakdale,1626,-14
06371,Connecticut,Old Lyme,2035,7
06373,Connecticut,Oneco,1651,-13
06374,Connecticut,Plainfield,1485,-22
06375,Connecticut,Quaker Hill,1837,-3
06376,Connecticut,South Lyme,1781,-6
06377,Connecticut,Sterling,1540,-19
06378,Connecticut,Stonington,2092,10
06379,Connecticut,Pawcatuck,1964,3
06380,Connecticut,Taftville,1616,-15
06382,Connecticut,Uncasville,1617,-15
06383,Connecticut,Versailles,1619,-15
06384,Connecticut,Voluntown,1655,-13
06385,Connecticut,Waterford,2020,6
06388,Connecticut,West Mystic,1870,-2
06389,Connecticut,Yantic,1773,-7
06390,New York,Fishers Island,1889,-1
06401,Connecticut,Ansonia,1656,-13
06403,Connecticut,Beacon Falls,1604,-16
06404,Connecticut,Botsford,1486,-22
06405,Connecticut,Branford,1968,4
06409,Connecticut,Centerbrook,1784,-6
06410,Connecticut,Cheshire,1626,-14
06412,Connecticut,Chester,1731,-9
06413,Connecticut,Clinton,2115,11
06414,Connecticut,Cobalt,1824,-4
06415,Connecticut,Colchester,1583,-17
06416,Connecticut,Cromwell,1537,-19
06417,Connecticut,Deep River,1815,-4
06418,Connecticut,Derby,1629,-14
06419,Connecticut,Killingworth,1733,-9
06420,Connecticut,Salem,1619,-15
06422,Connecticut,Durham,1605,-15
06423,Connecticut,East Haddam,1648,-13
06424,Connecticut,East Hampton,1537,-19
06426,Connecticut,Essex Village,1822,-4
06437,Connecticut,Guilford,1962,3
06438,Connecticut,Haddam,1602,-16
06439,Connecticut,Hadlyme,1724,-9
06440,Connecticut,Hawleyville,1543,-19
06441,Connecticut,Higganum,1584,-17
06442,Connecticut,Ivoryton,1790,-6
06443,Connecticut,Madison,2010,6
06444,Connecticut,Marion,1620,-15
06447,Connecticut,Marlborough,1433,-25
06450,Connecticut,Meriden,1577,-17
06451,Connecticut,Meriden,1608,-15
06455,Connecticut,Middlefield,1564,-18
06456,Connecticut,Middle Haddam,1567,-17
06457,Connecticut,Middletown,1534,-19
06460,Connecticut,Milford,1921,1
06461,Connecticut,Milford,1900,0
06467,Connecticut,Milldale,1437,-24
06468,Connecticut,Monroe,1465,-23
06469,Connecticut,Moodus,1648,-13
06470,Connecticut,Newtown,1437,-24
06471,Connecticut,North Branford,1795,-5
06472,Connecticut,Northford,1708,-10
06473,Connecticut,North Haven,1649,-13
06474,Connecticut,North Westchester,1601,-16
06475,Connecticut,Old Saybrook,2127,12
06477,Connecticut,Orange,1841,-3
06478,Connecticut,Oxford,1589,-16
06479,Connecticut,Plantsville,1397,-26
06480,Connecticut,Portland,1557,-18
06481,Connecticut,Rockfall,1561,-18
06482,Connecticut,Sandy Hook,1444,-24
06483,Connecticut,Seymour,1597,-16
06484,Connecticut,Shelton,1464,-23
06487,Connecticut,South Britain,1559,-18
06488,Connecticut,Southbury,1562,-18
06489,Connecticut,Southington,1396,-26
06491,Connecticut,Stevenson,1461,-23
06492,Connecticut,Wallingford,1623,-15
06498,Connecticut,Westbrook,2132,12
06510,Connecticut,New Haven,2065,9
06511,Connecticut,New Haven,2059,8
06512,Connecticut,East Haven,1959,3
06513,Connecticut,New Haven,2047,8
06514,Connecticut,Hamden,1663,-12
06515,Connecticut,New Haven,2039,7
06516,Connecticut,West Haven,1971,4
06517,Connecticut,Hamden,1656,-13
06518,Connecticut,Hamden,1668,-12
06519,Connecticut,New Haven,2113,11
06524,Connecticut,Bethany,1670,-12
06525,Connecticut,Woodbridge,1717,-10
06604,Connecticut,Bridgeport,1947,3
06605,Connecticut,Bridgeport,1937,2
06606,Connecticut,Bridgeport,1842,-3
06607,Connecticut,Bridgeport,1989,5
06608,Connecticut,Bridgeport,1916,1
06610,Connecticut,Bridgeport,1897,0
06611,Connecticut,Trumbull,1493,-21
06612,Connecticut,Easton,1497,-21
06614,Connecticut,Stratford,1693,-11
06615,Connecticut,Stratford,1878,-1
06650,Connecticut,Bridgeport,1930,2
06701,Connecticut,Waterbury,1700,-10
06702,Connecticut,Waterbury,1691,-11
06704,Connecticut,Waterbury,1681,-11
06705,Connecticut,Waterbury,1643,-13
06706,Connecticut,Waterbury,1655,-13
06708,Connecticut,Waterbury,1624,-14
06710,Connecticut,Waterbury,1686,-11
06712,Connecticut,Prospect,1604,-16
06716,Connecticut,Wolcott,1598,-16
06750,Connecticut,Bantam,1481,-22
06751,Connecticut,Bethlehem,1466,-23
06752,Connecticut,Bridgewater,1419,-25
06754,Connecticut,Cornwall Bridge,1462,-23
06755,Connecticut,Gaylordsville,1412,-26
06756,Connecticut,Goshen,1427,-25
06757,Connecticut,Kent,1443,-24
06758,Connecticut,Lakeside,1451,-24
06759,Connecticut,Litchfield,1473,-22
06762,Connecticut,Middlebury,1585,-17
06763,Connecticut,Morris,1479,-22
06770,Connecticut,Naugatuck,1571,-17
06776,Connecticut,New Milford,1395,-27
06777,Connecticut,New Preston,1427,-25
06778,Connecticut,Northfield,1466,-23
06779,Connecticut,Oakville,1403,-26
06781,Connecticut,Pequabuck,1429,-25
06782,Connecticut,Plymouth,1424,-25
06783,Connecticut,Roxbury,1433,-25
06784,Connecticut,Sherman,1457,-23
06785,Connecticut,South Kent,1451,-24
06786,Connecticut,Terryville,1398,-26
06787,Connecticut,Thomaston,1433,-25
06790,Connecticut,Torrington,1350,-29
06791,Connecticut,Harwinton,1409,-26
06793,Connecticut,Washington,1469,-23
06794,Connecticut,Washington Depot,1420,-25
06795,Connecticut,Watertown,1413,-26
06796,Connecticut,West Cornwall,1417,-25
06798,Connecticut,Woodbury,1431,-25
06801,Connecticut,Bethel,1371,-28
06804,Connecticut,Brookfield,1416,-25
06807,Connecticut,Cos Cob,1517,-20
06810,Connecticut,Danbury,1395,-27
06811,Connecticut,Danbury,1378,-27
06812,Connecticut,New Fairfield,1420,-25
06820,Connecticut,Darien,1599,-16
06824,Connecticut,Fairfield,1688,-11
06825,Connecticut,Fairfield,1661,-13
06828,Connecticut,Fairfield,1570,-17
06829,Connecticut,Georgetown,1491,-21
06830,Connecticut,Greenwich,1545,-19
06831,Connecticut,Greenwich,1534,-19
06838,Connecticut,Greens Farms,1491,-21
06840,Connecticut,New Canaan,1449,-24
06850,Connecticut,Norwalk,1652,-13
06851,Connecticut,Norwalk,1688,-11
06853,Connecticut,Norwalk,1786,-6
06854,Connecticut,Norwalk,1708,-10
06855,Connecticut,Norwalk,1796,-5
06870,Connecticut,Old Greenwich,1567,-17
06875,Connecticut,Redding Center,1392,-27
06876,Connecticut,Redding Ridge,1392,-27
06877,Connecticut,Ridgefield,1371,-28
06878,Connecticut,Riverside,1520,-20
06880,Connecticut,Westport,1681,-11
06883,Connecticut,Weston,1460,-23
06890,Connecticut,Southport,1673,-12
06896,Connecticut,Redding,1445,-24
06897,Connecticut,Wilton,1416,-25
06901,Connecticut,Stamford,1607,-15
06902,Connecticut,Stamford,1612,-15
06903,Connecticut,Stamford,1571,-17
06905,Connecticut,Stamford,1551,-18
06906,Connecticut,Stamford,1565,-18
06907,Connecticut,Stamford,1579,-17
06910,Connecticut,Stamford,1534,-19
07001,New Jersey,Avenel,824,-57
07002,New Jersey,Bayonne,901,-53
07003,New Jersey,Bloomfield,859,-55
07004,New Jersey,Fairfield,823,-57
07005,New Jersey,Boonton,739,-61
07006,New Jersey,Caldwell,824,-57
07008,New Jersey,Carteret,829,-56
07009,New Jersey,Cedar Grove,823,-57
07010,New Jersey,Cliffside Park,813,-57
07011,New Jersey,Clifton,886,-53
07012,New Jersey,Clifton,890,-53
07013,New Jersey,Clifton,887,-53
07014,New Jersey,Clifton,898,-53
07016,New Jersey,Cranford,830,-56
07017,New Jersey,East Orange,1134,-40
07018,New Jersey,East Orange,1122,-41
07020,New Jersey,Edgewater,824,-57
07021,New Jersey,Essex Fells,819,-57
07022,New Jersey,Fairview,815,-57
07023,New Jersey,Fanwood,806,-58
07024,New Jersey,Fort Lee,794,-58
07026,New Jersey,Garfield,795,-58
07027,New Jersey,Garwood,817,-57
07028,New Jersey,Glen Ridge,833,-56
07029,New Jersey,Harrison,902,-53
07030,New Jersey,Hoboken,882,-54
07031,New Jersey,North Arlington,805,-58
07032,New Jersey,Kearny,890,-53
07033,New Jersey,Kenilworth,833,-56
07034,New Jersey,Lake Hiawatha,741,-61
07035,New Jersey,Lincoln Park,748,-61
07036,New Jersey,Linden,852,-55
07039,New Jersey,Livingston,814,-57
07040,New Jersey,Maplewood,857,-55
07041,New Jersey,Millburn,819,-57
07042,New Jersey,Montclair,845,-56
07043,New Jersey,Upper Montclair,845,-56
07044,New Jersey,Verona,839,-56
07045,New Jersey,Montville,732,-61
07046,New Jersey,Mountain Lakes,737,-61
07047,New Jersey,North Bergen,906,-52
07050,New Jersey,Orange,993,-48
07052,New Jersey,West Orange,850,-55
07054,New Jersey,Parsippany,741,-61
07055,New Jersey,Passaic,1058,-44
07057,New Jersey,Wallington,805,-58
07058,New Jersey,Pine Brook,752,-60
07059,New Jersey,Warren,745,-61
07060,New Jersey,Plainfield,868,-54
07062,New Jersey,Plainfield,881,-54
07063,New Jersey,Plainfield,882,-54
07064,New Jersey,Port Reading,846,-55
07065,New Jersey,Rahway,867,-54
07066,New Jersey,Clark,836,-56
07067,New Jersey,Colonia,803,-58
07068,New Jersey,Roseland,819,-57
07069,New Jersey,Watchung,785,-59
07070,New Jersey,Rutherford,811,-57
07071,New Jersey,Lyndhurst,803,-58
07072,New Jersey,Carlstadt,808,-57
07073,New Jersey,East Rutherford,800,-58
07074,New Jersey,Moonachie,820,-57
07075,New Jersey,Wood-Ridge,811,-57
07076,New Jersey,Scotch Plains,810,-57
07077,New Jersey,Sewaren,848,-55
07078,New Jersey,Short Hills,833,-56
07079,New Jersey,South Orange,875,-54
07080,New Jersey,South Plainfield,813,-57
07081,New Jersey,Springfield,819,-57
07082,New Jersey,Towaco,739,-61
07083,New Jersey,Union,876,-54
07086,New Jersey,Weehawken,883,-54
07087,New Jersey,Union City,960,-49
07088,New Jersey,Vauxhall,859,-55
07090,New Jersey,Westfield,803,-58
07092,New Jersey,Mountainside,812,-57
07093,New Jersey,West New York,887,-53
07094,New Jersey,Secaucus,874,-54
07095,New Jersey,Woodbridge,837,-56
07102,New Jersey,Newark,1102,-42
07103,New Jersey,Newark,1132,-40
07104,New Jersey,Newark,1130,-40
07105,New Jersey,Newark,1083,-43
07106,New Jersey,Newark,1142,-40
07107,New Jersey,Newark,1110,-42
07108,New Jersey,Newark,1136,-40
07109,New Jersey,Belleville,883,-54
07110,New Jersey,Nutley,843,-56
07111,New Jersey,Irvington,1026,-46
07112,New Jersey,Newark,1114,-41
07114,New Jersey,Newark,1082,-43
07201,New Jersey,Elizabeth,946,-50
07202,New Jersey,Elizabeth,946,-50
07203,New Jersey,Roselle,856,-55
07204,New Jersey,Roselle Park,850,-55
07205,New Jersey,Hillside,862,-55
07206,New Jersey,Elizabethport,916,-52
07208,New Jersey,Elizabeth,946,-50
07302,New Jersey,Jersey City,1010,-47
07304,New Jersey,Jersey City,1040,-45
07305,New Jersey,Jersey City,1020,-46
07306,New Jersey,Jersey City,1031,-46
07307,New Jersey,Jersey City,1027,-46
07310,New Jersey,Jersey City,1016,-46
07311,New Jersey,Jersey City,1056,-44
07401,New Jersey,Allendale,775,-59
07403,New Jersey,Bloomingdale,812,-57
07405,New Jersey,Kinnelon,745,-61
07407,New Jersey,Elmwood Park,794,-58
07410,New Jersey,Fair Lawn,790,-58
07416,New Jersey,Franklin,788,-59
07417,New Jersey,Franklin Lakes,771,-59
07418,New Jersey,Vernon Valley,786,-59
07419,New Jersey,Hamburg,797,-58
07420,New Jersey,Haskell,818,-57
07421,New Jersey,Hewitt,856,-55
07422,New Jersey,Highland Lake,817,-57
07423,New Jersey,Ho-Ho-Kus,768,-60
07424,New Jersey,Woodland Park,807,-58
07428,New Jersey,Mc Afee,806,-58
07430,New Jersey,Mahwah,770,-59
07432,New Jersey,Midland Park,777,-59
07435,New Jersey,Newfoundland,811,-57
07436,New Jersey,Oakland,764,-60
07438,New Jersey,Oak Ridge,754,-60
07439,New Jersey,Ogdensburg,790,-58
07440,New Jersey,Pequannock,743,-61
07442,New Jersey,Pompton Lakes,805,-58
07444,New Jersey,Pompton Plains,744,-61
07446,New Jersey,Ramsey,764,-60
07450,New Jersey,Ridgewood,772,-59
07452,New Jersey,Glen Rock,772,-59
07456,New Jersey,Ringwood,802,-58
07457,New Jersey,Riverdale,753,-60
07458,New Jersey,Upper Saddle River,776,-59
07460,New Jersey,Stockholm,792,-58
07461,New Jersey,Sussex,796,-58
07462,New Jersey,Vernon,806,-58
07463,New Jersey,Waldwick,772,-59
07465,New Jersey,Wanaque,808,-57
07470,New Jersey,Wayne,810,-57
07480,New Jersey,West Milford,827,-56
07481,New Jersey,Wyckoff,771,-59
07495,New Jersey,Mahwah,777,-59
07501,New Jersey,Paterson,1083,-43
07502,New Jersey,Paterson,1102,-42
07503,New Jersey,Paterson,1120,-41
07504,New Jersey,Paterson,1122,-41
07505,New Jersey,Paterson,1084,-43
07506,New Jersey,Hawthorne,814,-57
07508,New Jersey,North Haledon,822,-57
07510,New Jersey,Paterson,1039,-45
07512,New Jersey,Totowa,811,-57
07513,New Jersey,Paterson,1098,-42
07514,New Jersey,Paterson,1083,-43
07522,New Jersey,Paterson,1099,-42
07524,New Jersey,Paterson,1091,-43
07601,New Jersey,Hackensack,798,-58
07603,New Jersey,Bogota,813,-57
07604,New Jersey,Hasbrouck Heights,817,-57
07605,New Jersey,Leonia,820,-57
07606,New Jersey,South Hackensack,813,-57
07607,New Jersey,Maywood,808,-57
07608,New Jersey,Teterboro,804,-58
07620,New Jersey,Alpine,808,-57
07621,New Jersey,Bergenfield,798,-58
07624,New Jersey,Closter,799,-58
07626,New Jersey,Cresskill,790,-58
07627,New Jersey,Demarest,790,-58
07628,New Jersey,Dumont,797,-58
07630,New Jersey,Emerson,786,-59
07631,New Jersey,Englewood,801,-58
07632,New Jersey,Englewood Cliffs,806,-58
07640,New Jersey,Harrington Park,804,-58
07641,New Jersey,Haworth,799,-58
07642,New Jersey,Hillsdale,792,-58
07643,New Jersey,Little Ferry,814,-57
07644,New Jersey,Lodi,797,-58
07645,New Jersey,Montvale,776,-59
07646,New Jersey,New Milford,790,-58
07647,New Jersey,Northvale,808,-57
07648,New Jersey,Norwood,792,-58
07649,New Jersey,Oradell,786,-59
07650,New Jersey,Palisades Park,799,-58
07652,New Jersey,Paramus,797,-58
07656,New Jersey,Park Ridge,779,-59
07657,New Jersey,Ridgefield,804,-58
07660,New Jersey,Ridgefield Park,802,-58
07661,New Jersey,River Edge,785,-59
07662,New Jersey,Rochelle Park,783,-59
07663,New Jersey,Saddle Brook,791,-58
07666,New Jersey,Teaneck,803,-58
07670,New Jersey,Tenafly,798,-58
07675,New Jersey,Westwood,790,-58
07676,New Jersey,Township Of Washington,791,-58
07677,New Jersey,Woodcliff Lake,780,-59
07701,New Jersey,Red Bank,1007,-47
07702,New Jersey,Shrewsbury,994,-48
07703,New Jersey,Fort Monmouth,990,-48
07704,New Jersey,Fair Haven,1025,-46
07710,New Jersey,Adelphia,1052,-45
07711,New Jersey,Allenhurst,1205,-37
07712,New Jersey,Asbury Park,1150,-39
07716,New Jersey,Atlantic Highlands,1117,-41
07717,New Jersey,Avon-by-the-Sea,1213,-36
07718,New Jersey,Belford,1078,-43
07719,New Jersey,Belmar,1169,-38
07720,New Jersey,Bradley Beach,1205,-37
07721,New Jersey,Cliffwood,979,-48
07722,New Jersey,Colts Neck,940,-51
07723,New Jersey,Deal,1194,-37
07724,New Jersey,Eatontown,1001,-47
07726,New Jersey,Englishtown,924,-51
07727,New Jersey,Farmingdale,937,-51
07728,New Jersey,Freehold,920,-52
07730,New Jersey,Hazlet,992,-48
07731,New Jersey,Howell,980,-48
07732,New Jersey,Highlands,1252,-34
07733,New Jersey,Holmdel,963,-49
07734,New Jersey,Keansburg,1062,-44
07735,New Jersey,Keyport,1033,-46
07737,New Jersey,Leonardo,1097,-42
07738,New Jersey,Lincroft,943,-50
07739,New Jersey,Little Silver,1024,-46
07740,New Jersey,Long Branch,1189,-37
07746,New Jersey,Marlboro,920,-52
07747,New Jersey,Matawan,913,-52
07748,New Jersey,Middletown,993,-48
07750,New Jersey,Monmouth Beach,1211,-36
07751,New Jersey,Morganville,921,-52
07753,New Jersey,Neptune,1118,-41
07755,New Jersey,Oakhurst,1075,-43
07756,New Jersey,Ocean Grove,1209,-36
07757,New Jersey,Oceanport,1098,-42
07758,New Jersey,Port Monmouth,1094,-42
07760,New Jersey,Rumson,1150,-39
07762,New Jersey,Spring Lake Heights,1177,-38
07763,New Jersey,Tennent,1147,-40
07764,New Jersey,West Long Branch,1087,-43
07765,New Jersey,Wickatunk,1055,-44
07799,New Jersey,Eatontown,1060,-44
07801,New Jersey,Dover,732,-61
07803,New Jersey,Mine Hill,737,-61
07806,New Jersey,Picatinny Arsenal,720,-62
07821,New Jersey,Andover,779,-59
07822,New Jersey,Augusta,782,-59
07823,New Jersey,Belvidere,762,-60
07825,New Jersey,Blairstown,772,-59
07826,New Jersey,Branchville,793,-58
07827,New Jersey,Montague,798,-58
07828,New Jersey,Budd Lake,744,-61
07829,New Jersey,Buttzville,721,-62
07830,New Jersey,Califon,722,-62
07831,New Jersey,Changewater,705,-63
07832,New Jersey,Columbia,767,-60
07834,New Jersey,Denville,726,-62
07836,New Jersey,Flanders,729,-62
07837,New Jersey,Glasser,731,-62
07838,New Jersey,Great Meadows,769,-60
07839,New Jersey,Greendell,762,-60
07840,New Jersey,Hackettstown,755,-60
07842,New Jersey,Hibernia,719,-62
07843,New Jersey,Hopatcong,774,-59
07845,New Jersey,Ironia,733,-61
07846,New Jersey,Johnsonburg,737,-61
07847,New Jersey,Kenvil,745,-61
07848,New Jersey,Lafayette,798,-58
07849,New Jersey,Lake Hopatcong,744,-61
07850,New Jersey,Landing,742,-61
07851,New Jersey,Layton,786,-59
07852,New Jersey,Ledgewood,743,-61
07853,New Jersey,Long Valley,719,-62
07855,New Jersey,Middleville,742,-61
07856,New Jersey,Mount Arlington,752,-60
07857,New Jersey,Netcong,744,-61
07860,New Jersey,Newton,799,-58
07863,New Jersey,Oxford,760,-60
07865,New Jersey,Port Murray,752,-60
07866,New Jersey,Rockaway,731,-62
07869,New Jersey,Randolph,727,-62
07870,New Jersey,Schooleys Mountain,696,-63
07871,New Jersey,Sparta,784,-59
07874,New Jersey,Stanhope,780,-59
07876,New Jersey,Succasunna,731,-62
07877,New Jersey,Swartswood,731,-62
07878,New Jersey,Mount Tabor,731,-62
07879,New Jersey,Tranquility,744,-61
07880,New Jersey,Vienna,746,-61
07881,New Jersey,Wallpack Center,779,-59
07882,New Jersey,Washington,759,-60
07885,New Jersey,Wharton,749,-61
07901,New Jersey,Summit,808,-57
07920,New Jersey,Basking Ridge,730,-62
07921,New Jersey,Bedminster,748,-61
07922,New Jersey,Berkeley Heights,797,-58
07924,New Jersey,Bernardsville,728,-62
07926,New Jersey,Brookside,708,-63
07927,New Jersey,Cedar Knolls,745,-61
07928,New Jersey,Chatham,730,-62
07930,New Jersey,Chester,723,-62
07931,New Jersey,Far Hills,735,-61
07932,New Jersey,Florham Park,719,-62
07933,New Jersey,Gillette,719,-62
07934,New Jersey,Gladstone,740,-61
07935,New Jersey,Green Village,736,-61
07936,New Jersey,East Hanover,741,-61
07938,New Jersey,Liberty Corner,740,-61
07939,New Jersey,Lyons,732,-61
07940,New Jersey,Madison,722,-62
07945,New Jersey,Mendham,721,-62
07946,New Jersey,Millington,723,-62
07950,New Jersey,Morris Plains,722,-62
07960,New Jersey,Morristown,730,-62
07961,New Jersey,Convent Station,704,-63
07970,New Jersey,Mount Freedom,708,-63
07974,New Jersey,New Providence,790,-58
07976,New Jersey,New Vernon,714,-62
07977,New Jersey,Peapack,742,-61
07978,New Jersey,Pluckemin,732,-61
07979,New Jersey,Pottersville,697,-63
07980,New Jersey,Stirling,730,-62
07981,New Jersey,Whippany,723,-62
07999,New Jersey,Whippany,732,-61
08002,New Jersey,Cherry Hill Mall,1024,-46
08003,New Jersey,Springdale,1024,-46
08004,New Jersey,Atco,1064,-44
08005,New Jersey,Barnegat,1138,-40
08006,New Jersey,Barnegat Light,1303,-31
08007,New Jersey,Barrington,1040,-45
08008,New Jersey,North Beach Haven,1389,-27
08009,New Jersey,Berlin,1037,-45
08010,New Jersey,Beverly,1046,-45
08011,New Jersey,Birmingham,1044,-45
08012,New Jersey,Blackwood,1033,-46
08014,New Jersey,Bridgeport,1028,-46
08015,New Jersey,Browns Mills,1031,-46
08016,New Jersey,Burlington,1006,-47
08018,New Jersey,Cedar Brook,1088,-43
08019,New Jersey,Chatsworth,1068,-44
08020,New Jersey,Clarksboro,987,-48
08021,New Jersey,Lindenwold,1095,-42
08022,New Jersey,Columbus,979,-48
08023,New Jersey,Deepwater,1014,-47
08025,New Jersey,Ewan,994,-48
08026,New Jersey,Gibbsboro,1023,-46
08027,New Jersey,Gibbstown,991,-48
08028,New Jersey,Glassboro,1012,-47
08029,New Jersey,Glendora,1017,-46
08030,New Jersey,Gloucester City,1043,-45
08031,New Jersey,Bellmawr,1026,-46
08032,New Jersey,Grenloch,1005,-47
08033,New Jersey,Haddonfield,1000,-47
08034,New Jersey,Kingston Estates,995,-48
08035,New Jersey,Haddon Heights,1015,-47
08036,New Jersey,Hainesport,983,-48
08037,New Jersey,Hammonton,1068,-44
08038,New Jersey,Hancocks Bridge,1019,-46
08039,New Jersey,Harrisonville,1040,-45
08041,New Jersey,Jobstown,989,-48
08042,New Jersey,Juliustown,979,-48
08043,New Jersey,Voorhees,1043,-45
08045,New Jersey,Lawnside,1091,-43
08046,New Jersey,Willingboro,1060,-44
08048,New Jersey,Lumberton,951,-50
08049,New Jersey,Magnolia,1025,-46
08050,New Jersey,Ocean Acres,1135,-40
08051,New Jersey,Mantua,985,-48
08052,New Jersey,Maple Shade,985,-48
08053,New Jersey,Marlton,959,-49
08054,New Jersey,Mount Laurel,946,-50
08055,New Jersey,Medford,990,-48
08056,New Jersey,Mickleton,985,-48
08057,New Jersey,Moorestown-Lenola,925,-51
08059,New Jersey,Mount Ephraim,1025,-46
08060,New Jersey,Mount Holly,954,-50
08061,New Jersey,Mount Royal,1007,-47
08062,New Jersey,Mullica Hill,984,-48
08063,New Jersey,National Park,1017,-46
08064,New Jersey,New Lisbon,1031,-46
08065,New Jersey,Palmyra,960,-49
08066,New Jersey,Paulsboro,1026,-46
08067,New Jersey,Pedricktown,995,-48
08068,New Jersey,Pemberton,1009,-47
08069,New Jersey,Carneys Point,1020,-46
08070,New Jersey,Pennsville,1030,-46
08071,New Jersey,Pitman,987,-48
08073,New Jersey,Rancocas,1059,-44
08075,New Jersey,Riverside,1000,-47
08077,New Jersey,Riverton,992,-48
08078,New Jersey,Runnemede,1041,-45
08079,New Jersey,Salem,1063,-44
08080,New Jersey,Sewell,984,-48
08081,New Jersey,Sicklerville,1071,-44
08083,New Jersey,Somerdale,1029,-46
08084,New Jersey,Stratford,1037,-45
08085,New Jersey,Swedesboro,996,-48
08086,New Jersey,Thorofare,992,-48
08087,New Jersey,Tuckerton,1206,-36
08088,New Jersey,Vincentown,989,-48
08089,New Jersey,Waterford Works,1061,-44
08090,New Jersey,Oak Valley,983,-48
08091,New Jersey,West Berlin,1023,-46
08092,New Jersey,West Creek,1174,-38
08093,New Jersey,Westville,1024,-46
08094,New Jersey,Williamstown,1013,-47
08095,New Jersey,Winslow,1035,-45
08096,New Jersey,Woodbury,992,-48
08097,New Jersey,Woodbury Heights,980,-48
08098,New Jersey,Woodstown,1034,-46
08102,New Jersey,Camden,1086,-43
08103,New Jersey,Camden,1076,-43
08104,New Jersey,Camden,1061,-44
08105,New Jersey,Camden,1101,-42
08106,New Jersey,Audubon,1026,-46
08107,New Jersey,Collingswood,1036,-45
08108,New Jersey,Collingswood,1037,-45
08109,New Jersey,Merchantville,1067,-44
08110,New Jersey,Pennsauken,1089,-43
08201,New Jersey,Absecon,1206,-36
08202,New Jersey,Avalon,1269,-33
08203,New Jersey,Brigantine,1542,-19
08204,New Jersey,Cape May,1219,-36
08205,New Jersey,Absecon,1176,-38
08210,New Jersey,Cape May Court House,1162,-39
08212,New Jersey,Cape May Point,1246,-34
08213,New Jersey,Cologne,1075,-43
08214,New Jersey,Dennisville,1181,-38
08215,New Jersey,Egg Harbor City,1084,-43
08218,New Jersey,Goshen,1159,-39
08219,New Jersey,Green Creek,1177,-38
08220,New Jersey,Leeds Point,1166,-39
08221,New Jersey,Linwood,1223,-36
08223,New Jersey,Marmora,1224,-36
08224,New Jersey,New Gretna,1073,-43
08225,New Jersey,Northfield,1229,-35
08226,New Jersey,Ocean City,1299,-32
08230,New Jersey,Ocean View,1194,-37
08231,New Jersey,Oceanville,1159,-39
08232,New Jersey,Pleasantville,1232,-35
08234,New Jersey,Egg Harbor Township,1142,-40
08240,New Jersey,Pomona,1132,-40
08241,New Jersey,Port Republic,1230,-35
08242,New Jersey,Rio Grande,1179,-38
08243,New Jersey,Sea Isle City,1318,-31
08244,New Jersey,Somers Point,1272,-33
08245,New Jersey,South Dennis,1194,-37
08246,New Jersey,South Seaville,1191,-37
08247,New Jersey,Stone Harbor,1298,-32
08248,New Jersey,Strathmere,1363,-28
08250,New Jersey,Tuckahoe,1200,-37
08251,New Jersey,Villas,1224,-36
08260,New Jersey,Wildwood,1268,-33
08270,New Jersey,Woodbine,1119,-41
08302,New Jersey,Bridgeton,1062,-44
08310,New Jersey,Buena,1087,-43
08311,New Jersey,Cedarville,1099,-42
08312,New Jersey,Clayton,1009,-47
08313,New Jersey,Deerfield Street,1080,-43
08314,New Jersey,Delmont,1092,-42
08315,New Jersey,Dividing Creek,1109,-42
08316,New Jersey,Dorchester,1116,-41
08317,New Jersey,Dorothy,1080,-43
08318,New Jersey,Elmer,1036,-45
08319,New Jersey,Estell Manor,1064,-44
08320,New Jersey,Fairton,1038,-45
08321,New Jersey,Fortescue,1106,-42
08322,New Jersey,Franklinville,999,-47
08323,New Jersey,Greenwich,1012,-47
08324,New Jersey,Heislerville,1084,-43
08326,New Jersey,Landisville,1081,-43
08327,New Jersey,Leesburg,1086,-43
08328,New Jersey,Malaga,1012,-47
08329,New Jersey,Mauricetown,1055,-44
08330,New Jersey,Mays Landing,1067,-44
08332,New Jersey,Millville,1115,-41
08340,New Jersey,Milmay,1101,-42
08341,New Jersey,Minotola,1081,-43
08342,New Jersey,Mizpah,1088,-43
08343,New Jersey,Monroeville,1057,-44
08344,New Jersey,Newfield,1028,-46
08345,New Jersey,Newport,1084,-43
